"","day.of.year","airport.code","avg.delay","lat","lon","city","state","airport"
"15002","180","GRB",65,"44.4923","-88.1274","Green Bay","Wisconsin","Austin Straubel International Airport"
"15003","180","GRK",66.5,"31.0615","-97.8206","Killeen","Texas","Killeen-Fort Hood Regional Airport"
"15004","180","GRR",77.5,"42.8841","-85.5307","Grand Rapids","Michigan","Gerald R. Ford International Airport"
"15005","180","GSO",84,"36.1038","-79.9427","Greensboro","North Carolina","Triad International Airport"
"15006","180","GSP",103,"34.8907","-82.2167","Greer","South Carolina","Greenville Spartanburg International Airport"
"15007","180","HOU",21,"29.6572","-95.2795","Houston","Texas","William P Hobby Airport"
"15008","180","HSV",70.5,"34.6492","-86.7767","Huntsville","Alabama","Huntsville International Airport"
"15009","180","IAD",58.5,"38.9556","-77.4484","Washington","Virginia","Dulles International Airport"
"15010","180","IAH",12.8571428571429,"29.9784","-95.3424","Houston","Texas","George Bush Intercontinental Airport"
"15011","180","ICT",23,"37.6531","-97.43","Wichita","Kansas","Wichita Mid-Continent Airport"
"15012","180","ISP",30,"40.7891","-73.0984","Ronkonkoma","New York","Long Island Macarthur Airport"
"15013","180","JAN",42.5,"32.3089","-90.0733","Pearl","Mississippi","Jackson International Airport"
"15014","180","JAX",26.4,"30.4914","-81.676","Jacksonville","Florida","Jacksonville International Airport"
"15015","180","JFK",33,"40.6437","-73.79","Jamaica","New York","John F Kennedy International Airport"
"15016","180","LAS",32,"36.0806","-115.143","Las Vegas","Nevada","Mccarran International Airport"
"15017","180","LAW",97,"34.573","-98.4135","Lawton","Oklahoma","Lawton Municipal Airport"
"15018","180","LAX",47.4285714285714,"33.9456","-118.391","Los Angeles","California","Los Angeles International Airport"
"15019","180","LBB",178,"33.6566","-101.821","Lubbock","Texas","Lubbock International Airport"
"15020","180","LEX",38,"38.0384","-84.5989","Lexington","Kentucky","Blue Grass Field"
"15021","180","LFT",118,"30.2084","-91.9935","Lafayette","Louisiana","Lafayette Regional Airport"
"15022","180","LGA",45,"40.7731","-73.8756","Flushing","New York","LaGuardia Airport"
"15023","180","LIT",39.75,"34.7278","-92.219","Little Rock","Arkansas","Adams Field Airport"
"15024","180","LRD",16,"27.5431","-99.4555","Laredo","Texas","Laredo International Airport"
"15025","180","LSE",14,"43.8751","-91.2638","La Crosse","Wisconsin","La Crosse Municipal Airport"
"15026","180","MAF",64,"31.9361","-102.208","Midland","Texas","Midland International Airport"
"15027","180","MCI",44.3333333333333,"39.2992","-94.7171","Kansas City","Missouri","Kansas City International Airport"
"15028","180","MCO",17.3333333333333,"28.4418","-81.3115","Orlando","Florida","Orlando International Airport"
"15029","180","MDW",9.33333333333333,"41.7875","-87.7416","Chicago","Illinois","Chicago Midway International Airport"
"15030","180","MEM",35.8571428571429,"35.047","-89.9823","Memphis","Tennessee","Memphis International Airport"
"15031","180","MFE",4,"26.1813","-98.2404","Mcallen","Texas","Miller International Airport"
"15032","180","MHT",17.3333333333333,"42.9293","-71.4386","Manchester","New Hampshire","Manchester-Boston Regional Airport"
"15033","180","MIA",66,"25.7953","-80.2727","Miami","Florida","Miami International Airport"
"15034","180","MKE",24,"42.9471","-87.9051","Milwaukee","Wisconsin","General Mitchell International Airport"
"15035","180","MOB",26,"30.6775","-88.243","Mobile","Alabama","Mobile Regional Airport"
"15036","180","MSN",103,"43.1351","-89.3465","Madison","Wisconsin","Dane County Regional Airport-Truax Field"
"15037","180","MSO",29,"46.9192","-114.084","Missoula","Montana","Missoula International Airport"
"15038","180","MSP",38.7,"44.8793","-93.1987","St. Paul","Minnesota","Minneapolis St Paul International Airport"
"15039","180","MSY",82,"29.983","-90.2569","Kenner","Louisiana","New Orleans International Airport"
"15040","180","OAK",44,"37.7158","-122.209","Oakland","California","Oakland International Airport"
"15041","180","OKC",65.8333333333333,"35.3981","-97.5974","Oklahoma City","Oklahoma","Will Rogers World Airport"
"15042","180","OMA",22.3333333333333,"41.3","-95.8998","Omaha","Nebraska","Eppley Airfield"
"15043","180","ONT",29,"34.062","-117.594","Ontario","California","Ontario International Airport"
"15044","180","ORD",119.266666666667,"41.9796","-87.8825","Chicago","Illinois","Chicago O'Hare International Airport"
"15045","180","ORF",46.6666666666667,"36.8977","-76.2154","Norfolk","Virginia","Norfolk International Airport"
"15046","180","PDX",56.6,"45.5867","-122.587","Portland","Oregon","Portland International Airport"
"15047","180","PHL",37.4,"39.8768","-75.2419","Philadelphia","Pennsylvania","Philadelphia International Airport"
"15048","180","PHX",48.1666666666667,"33.4376","-112.03","Phoenix","Arizona","Sky Harbor International Airport"
"15049","180","PIA",105,"40.6663","-89.6909","Peoria","Illinois","Greater Peoria Regional Airport"
"15050","180","PIT",17,"40.4914","-80.2328","Coraopolis","Pennsylvania","Pittsburgh International Airport"
"15051","180","PVD",14.5,"41.723","-71.4399","Warwick","Rhode Island","Theodore Francis Green State Airport"
"15052","180","RDU",56.25,"35.8729","-78.7923","Raleigh/Durham","North Carolina","Durham International Airport"
"15053","180","RIC",19.5,"37.5108","-77.3332","Richmond","Virginia","Richmond International Airport"
"15054","180","RNO",25,"39.5064","-119.776","Reno","Nevada","Reno-Tahoe International Airport"
"15055","180","ROC",25,"43.1309","-77.6697","Rochester","New York","Greater Rochester International Airport"
"15056","180","RST",27,"43.9101","-92.4884","Rochester","Minnesota","Rochester International Airport"
"15057","180","RSW",44,"26.5228","-81.7531","Fort Myers","Florida","Southwest Florida International Airport"
"15058","180","SAN",41.75,"32.7299","-117.195","San Diego","California","San Diego International Airport"
"15059","180","SAT",42,"29.5252","-98.4729","San Antonio","Texas","San Antonio International Airport"
"15060","180","SAV",39,"32.1338","-81.2133","Savannah","Georgia","Savannah International Airport"
"15061","180","SBN",53,"41.7006","-86.311","South Bend","Indiana","South Bend Regional Airport"
"15062","180","SDF",46.5,"38.1865","-85.7462","Louisville","Kentucky","Louisville International Airport"
"15063","180","SEA",31.2857142857143,"47.4405","-122.296","Seattle","Washington","Tacoma International Airport"
"15064","180","SFO",62.2222222222222,"37.6148","-122.392","San Francisco","California","San Francisco International Airport"
"15065","180","SGF",105.5,"37.243","-93.3817","Springfield","Missouri","Springfield Regional Airport"
"15066","180","SHV",92.5,"32.4549","-93.8285","Shreveport","Louisiana","Shreveport Regional Airport"
"15067","180","SJC",23.5,"37.3679","-121.926","San Jose","California","Norman Y Mineta San Jose International Airport"
"15068","180","SJU",40,"18.4367","-66.0095","Carolina","Puerto Rico","Luis Munoz Marin Airport"
"15069","180","SLC",45,"40.7862","-111.982","Salt Lake City","Utah","Salt Lake City International Airport"
